idx,zone,district,electoral_code
1,ตราด,1,2301
2,ระนอง,1,8501
3,สมุทรสงคราม,1,7501
4,สิงห์บุรี,1,1601
5,ชัยนาท,1,1701
5,ชัยนาท,2,1702
6,นครนายก,1,2601
6,นครนายก,2,2602
7,พังงา,1,8201
7,พังงา,2,8202
8,มุกดาหาร,1,4901
8,มุกดาหาร,2,4902
9,แม่ฮ่องสอน,1,5801
9,แม่ฮ่องสอน,2,5802
10,ลำพูน,1,5101
10,ลำพูน,2,5102
11,สตูล,1,9101
11,สตูล,2,9102
12,อ่างทอง,1,1401
12,อ่างทอง,2,1402
13,อำนาจเจริญ,1,3701
13,อำนาจเจริญ,2,3702
14,อุทัยธานี,1,6101
14,อุทัยธานี,2,6102
15,กระบี่,1,8101
15,กระบี่,2,8102
15,กระบี่,3,8103
16,จันทบุรี,1,2201
16,จันทบุรี,2,2202
16,จันทบุรี,3,2203
17,ชุมพร,1,8601
17,ชุมพร,2,8602
17,ชุมพร,3,8603
18,ตาก,1,6301
18,ตาก,2,6302
18,ตาก,3,6303
19,น่าน,1,5501
19,น่าน,2,5502
19,น่าน,3,5503
20,บึงกาฬ,1,3801
20,บึงกาฬ,2,3802
20,บึงกาฬ,3,3803
21,ประจวบคีรีขันธ์,1,7701
21,ประจวบคีรีขันธ์,2,7702
21,ประจวบคีรีขันธ์,3,7703
22,ปราจีนบุรี,1,2501
22,ปราจีนบุรี,2,2502
22,ปราจีนบุรี,3,2503
23,พะเยา,1,5601
23,พะเยา,2,5602
23,พะเยา,3,5603
24,พัทลุง,1,9301
24,พัทลุง,2,9302
24,พัทลุง,3,9303
25,พิจิตร,1,6601
25,พิจิตร,2,6602
25,พิจิตร,3,6603
26,เพชรบุรี,1,7601
26,เพชรบุรี,2,7602
26,เพชรบุรี,3,7603
27,แพร่,1,5401
27,แพร่,2,5402
27,แพร่,3,5403
28,ภูเก็ต,1,8301
28,ภูเก็ต,2,8302
28,ภูเก็ต,3,8303
29,ยโสธร,1,3501
29,ยโสธร,2,3502
29,ยโสธร,3,3503
30,ยะลา,1,9501
30,ยะลา,2,9502
30,ยะลา,3,9503
31,สระแก้ว,1,2701
31,สระแก้ว,2,2702
31,สระแก้ว,3,2703
32,หนองคาย,1,4301
32,หนองคาย,2,4302
32,หนองคาย,3,4303
33,หนองบัวลำภู,1,3901
33,หนองบัวลำภู,2,3902
33,หนองบัวลำภู,3,3903
34,อุตรดิตถ์,1,5301
34,อุตรดิตถ์,2,5302
34,อุตรดิตถ์,3,5303
35,กำแพงเพชร,1,6201
35,กำแพงเพชร,2,6202
35,กำแพงเพชร,3,6203
35,กำแพงเพชร,4,6204
36,ฉะเชิงเทรา,1,2401
36,ฉะเชิงเทรา,2,2402
36,ฉะเชิงเทรา,3,2403
36,ฉะเชิงเทรา,4,2404
37,ตรัง,1,9201
37,ตรัง,2,9202
37,ตรัง,3,9203
37,ตรัง,4,9204
38,นครพนม,1,4801
38,นครพนม,2,4802
38,นครพนม,3,4803
38,นครพนม,4,4804
39,ลพบุรี,1,1501
39,ลพบุรี,2,1502
39,ลพบุรี,3,1503
39,ลพบุรี,4,1504
40,ลำปาง,1,5201
40,ลำปาง,2,5202
40,ลำปาง,3,5203
40,ลำปาง,4,5204
41,เลย,1,4201
41,เลย,2,4202
41,เลย,3,4203
41,เลย,4,4204
42,สมุทรสาคร,1,7401
42,สมุทรสาคร,2,7402
42,สมุทรสาคร,3,7403
42,สมุทรสาคร,4,7404
43,สระบุรี,1,1801
43,สระบุรี,2,1802
43,สระบุรี,3,1803
43,สระบุรี,4,1804
44,สุโขทัย,1,6401
44,สุโขทัย,2,6402
44,สุโขทัย,3,6403
44,สุโขทัย,4,6404
45,กาญจนบุรี,1,7101
45,กาญจนบุรี,2,7102
45,กาญจนบุรี,3,7103
45,กาญจนบุรี,4,7104
45,กาญจนบุรี,5,7105
46,นราธิวาส,1,9601
46,นราธิวาส,2,9602
46,นราธิวาส,3,9603
46,นราธิวาส,4,9604
46,นราธิวาส,5,9605
47,ปัตตานี,1,9401
47,ปัตตานี,2,9402
47,ปัตตานี,3,9403
47,ปัตตานี,4,9404
47,ปัตตานี,5,9405
48,พระนครศรีอยุธยา,1,1301
48,พระนครศรีอยุธยา,2,1302
48,พระนครศรีอยุธยา,3,1303
48,พระนครศรีอยุธยา,4,1304
48,พระนครศรีอยุธยา,5,1305
49,พิษณุโลก,1,6501
49,พิษณุโลก,2,6502
49,พิษณุโลก,3,6503
49,พิษณุโลก,4,6504
49,พิษณุโลก,5,6505
50,ระยอง,1,2101
50,ระยอง,2,2102
50,ระยอง,3,2103
50,ระยอง,4,2104
50,ระยอง,5,2105
51,ราชบุรี,1,7001
51,ราชบุรี,2,7002
51,ราชบุรี,3,7003
51,ราชบุรี,4,7004
51,ราชบุรี,5,7005
52,สุพรรณบุรี,1,7201
52,สุพรรณบุรี,2,7202
52,สุพรรณบุรี,3,7203
52,สุพรรณบุรี,4,7204
52,สุพรรณบุรี,5,7205
53,กาฬสินธุ์,1,4601
53,กาฬสินธุ์,2,4602
53,กาฬสินธุ์,3,4603
53,กาฬสินธุ์,4,4604
53,กาฬสินธุ์,5,4605
53,กาฬสินธุ์,6,4606
54,นครปฐม,1,7301
54,นครปฐม,2,7302
54,นครปฐม,3,7303
54,นครปฐม,4,7304
54,นครปฐม,5,7305
54,นครปฐม,6,7306
55,นครสวรรค์,1,6001
55,นครสวรรค์,2,6002
55,นครสวรรค์,3,6003
55,นครสวรรค์,4,6004
55,นครสวรรค์,5,6005
55,นครสวรรค์,6,6006
56,เพชรบูรณ์,1,6701
56,เพชรบูรณ์,2,6702
56,เพชรบูรณ์,3,6703
56,เพชรบูรณ์,4,6704
56,เพชรบูรณ์,5,6705
56,เพชรบูรณ์,6,6706
57,มหาสารคาม,1,4401
57,มหาสารคาม,2,4402
57,มหาสารคาม,3,4403
57,มหาสารคาม,4,4404
57,มหาสารคาม,5,4405
57,มหาสารคาม,6,4406
58,ชัยภูมิ,1,3601
58,ชัยภูมิ,2,3602
58,ชัยภูมิ,3,3603
58,ชัยภูมิ,4,3604
58,ชัยภูมิ,5,3605
58,ชัยภูมิ,6,3606
58,ชัยภูมิ,7,3607
59,เชียงราย,1,5701
59,เชียงราย,2,5702
59,เชียงราย,3,5703
59,เชียงราย,4,5704
59,เชียงราย,5,5705
59,เชียงราย,6,5706
59,เชียงราย,7,5707
60,สกลนคร,1,4701
60,สกลนคร,2,4702
60,สกลนคร,3,4703
60,สกลนคร,4,4704
60,สกลนคร,5,4705
60,สกลนคร,6,4706
60,สกลนคร,7,4707
61,สุราษฎร์ธานี,1,8401
61,สุราษฎร์ธานี,2,8402
61,สุราษฎร์ธานี,3,8403
61,สุราษฎร์ธานี,4,8404
61,สุราษฎร์ธานี,5,8405
61,สุราษฎร์ธานี,6,8406
61,สุราษฎร์ธานี,7,8407
62,นนทบุรี,1,1101
62,นนทบุรี,2,1102
62,นนทบุรี,3,1103
62,นนทบุรี,4,1104
62,นนทบุรี,5,1105
62,นนทบุรี,6,1106
62,นนทบุรี,7,1107
62,นนทบุรี,8,1108
63,ปทุมธานี,1,1201
63,ปทุมธานี,2,1202
63,ปทุมธานี,3,1203
63,ปทุมธานี,4,1204
63,ปทุมธานี,5,1205
63,ปทุมธานี,6,1206
63,ปทุมธานี,7,1207
63,ปทุมธานี,8,1208
64,ร้อยเอ็ด,1,4501
64,ร้อยเอ็ด,2,4502
64,ร้อยเอ็ด,3,4503
64,ร้อยเอ็ด,4,4504
64,ร้อยเอ็ด,5,4505
64,ร้อยเอ็ด,6,4506
64,ร้อยเอ็ด,7,4507
64,ร้อยเอ็ด,8,4508
65,สมุทรปราการ,1,1271
65,สมุทรปราการ,2,1272
65,สมุทรปราการ,3,1273
65,สมุทรปราการ,4,1274
65,สมุทรปราการ,5,1275
65,สมุทรปราการ,6,1276
65,สมุทรปราการ,7,1277
65,สมุทรปราการ,8,1278
66,สุรินทร์,1,3201
66,สุรินทร์,2,3202
66,สุรินทร์,3,3203
66,สุรินทร์,4,3204
66,สุรินทร์,5,3205
66,สุรินทร์,6,3206
66,สุรินทร์,7,3207
66,สุรินทร์,8,3208
67,นครศรีธรรมราช,1,8001
67,นครศรีธรรมราช,2,8002
67,นครศรีธรรมราช,3,8003
67,นครศรีธรรมราช,4,8004
67,นครศรีธรรมราช,5,8005
67,นครศรีธรรมราช,6,8006
67,นครศรีธรรมราช,7,8007
67,นครศรีธรรมราช,8,8008
67,นครศรีธรรมราช,9,8009
68,ศรีสะเกษ,1,3301
68,ศรีสะเกษ,2,3302
68,ศรีสะเกษ,3,3303
68,ศรีสะเกษ,4,3304
68,ศรีสะเกษ,5,3305
68,ศรีสะเกษ,6,3306
68,ศรีสะเกษ,7,3307
68,ศรีสะเกษ,8,3308
68,ศรีสะเกษ,9,3309
69,สงขลา,1,9001
69,สงขลา,2,9002
69,สงขลา,3,9003
69,สงขลา,4,9004
69,สงขลา,5,9005
69,สงขลา,6,9006
69,สงขลา,7,9007
69,สงขลา,8,9008
69,สงขลา,9,9009
70,ชลบุรี,1,2001
70,ชลบุรี,2,2002
